Project ID,Project Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR101,AFOVERT Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR102,Air Bag Gas Substitution,0,0,0,0,0,0,0,0,0,1898000,6086006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR103,Inland Empire Anaerobic Ag Digester,0,0,0,0,0,0,0,0,0,13848,4481,0,11630,0,14243,0,0,0,0,0,0,0,0,0,0,0,0
ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR105,Boa Vista A/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572210,0,0,0,0,0,0,0,0,0,0
ACR106,Brickyard LFG to Energy,0,0,0,0,0,0,0,0,0,0,0,138492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR107,Camargo Fuel Substitution,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR108,San Juan National Forest Carbon Demonstration Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR109,Chesapeake Mizer Pneumatic Retrofit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231023,0,0,310781,0,0,0,0,0,0,0,0
ACR110,Chicago LFG to Energy,0,0,0,0,0,0,0,0,0,0,0,62262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR111,Devon Mizer Pneumatic Retrofit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5724,0,0,0,0,0,0,0,0,0,0,0,0
ACR112,Dolton LFG to Energy,0,0,0,0,0,0,0,0,0,0,0,159336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR113,Greater New Bedford LFG,0,0,0,0,0,0,0,0,0,0,29269,495293,124400,64200,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,42898,16608,254496,115125,659923,0,1054928,1273866,0,1670155,1179164,0
ACR115,Lower Mississippi Valley Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13422,0,0,0,0,0,0,0,0,0,0
ACR116,Societe VERAMA Madagascar Afforestation Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
