Project ID,Project Name, Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR101,AFOVERT Energy,Bundled Energy Efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR102,Air Bag Gas Substitution,SF6 Replacement,0,0,0,0,0,0,0,1898382,3004613,3081011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR103,Inland Empire Anaerobic Ag Digester,Manure Methane Digester,0,0,0,0,0,0,0,8072,5848,4409,3632,7998,13210,1033,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR105,Boa Vista A/R,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572210,0,0,0,0,0,0,0,0,0,0,0
ACR106,Brickyard LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,0,0,0,95330,43162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR107,Camargo Fuel Substitution,Fuel Switching,0,0,0,0,0,0,0,0,0,316,352,342,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR108,San Juan National Forest Carbon Demonstration Project,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR109,Chesapeake Mizer Pneumatic Retrofit,Pneumatic Retrofit,0,0,0,0,0,0,0,0,0,0,0,0,39727,109153,110384,105596,92762,84182,0,0,0,0,0,0,0,0,0
ACR110,Chicago LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,0,0,0,43632,18630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR111,Devon Mizer Pneumatic Retrofit,Pneumatic Retrofit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5724,0,0,0,0,0,0,0,0,0,0,0,0
ACR112,Dolton LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,0,0,0,104769,54567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR113,Greater New Bedford LFG,Landfill Methane,0,0,0,0,0,0,0,117945,113158,112306,119996,127178,122579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,42898,16608,369621,477297,182626,1054928,165976,1107890,307508,1362647,1179164,0,0
ACR115,Lower Mississippi Valley Reforestation,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13422,0,0,0,0,0,0,0,0,0,0,0
ACR116,Societe VERAMA Madagascar Afforestation Project,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR117,Merit Energy Geo-Seq,Carbon Capture & Enhanced Oil Recovery,0,0,0,0,991518,718342,736816,1038287,964224,796699,874554,817249,370975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR118,Monell Geo-Seq,Carbon Capture & Enhanced Oil Recovery,0,0,0,0,0,0,0,0,259387,415078,364909,340713,368322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR119,North Country LFG,Landfill Methane,0,0,48826,74895,114507,114478,110796,121401,131433,147174,172771,156075,122404,108593,128923,40121,0,0,0,0,0,0,0,0,0,0,0
ACR120,Petrosource Geo-Seq,Carbon Capture & Enhanced Oil Recovery,0,0,0,0,0,0,0,284527,331,719748,523532,653281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR121,Pike's Peak Geo-Seq,Carbon Capture & Enhanced Oil Recovery,0,0,0,0,0,0,0,0,483336,587212,781997,504139,509831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR122,Romeoville LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,0,0,0,35491,17005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR123,Salt Creek Geo-Seq,Carbon Capture & Enhanced Oil Recovery,0,0,0,0,0,0,0,0,1032153,1610328,736344,2057000,2239248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR124,Schneider Anti-Idling,Fleet Efficiency,0,0,0,0,0,0,0,0,0,0,11839,13836,17241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR125,SEESA Solar Electrification,Solar - Distributed,0,0,0,0,0,0,0,0,5,18,52,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR126,Seneca Meadows LFG,Landfill Methane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170626,409787,502389,639196,278098,470530,0,0,0,0,0,0,0
ACR127,Steuben County DPW LFG,Landfill Methane,0,0,0,0,0,0,0,0,0,19900,51249,58031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR128,Streator LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,0,0,0,32696,14454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR129,Tecnosol Solar Electrification,Solar - Distributed,0,0,0,0,0,0,0,0,0,473,1586,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR130,"Truck Stop Electrification, Alabama",Truck Stop Electrification,0,0,0,0,0,0,0,0,535,793,869,1880,2463,1676,140,0,0,0,0,0,0,0,0,0,0,0,0
ACR131,"Truck Stop Electrification, Arizona",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,615,3984,3997,2315,193,0,0,0,0,0,0,0,0,0,0,0,0
ACR132,"Truck Stop Electrification, Arkansas",Truck Stop Electrification,0,0,0,0,0,0,0,958,1374,1713,3064,7271,8616,5073,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR133,"Truck Stop Electrification, California",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,1315,5941,14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR134,"Truck Stop Electrification, Colorado",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,1795,1841,32,3,0,0,0,0,0,0,0,0,0,0,0,0
