Project ID,Project Name,Voluntary Registry,"ARB 
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project
ACR101,AFOVERT Energy,ACR,No,Canceled,Household & Community,Bundled Energy Efficiency,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Sub Saharan Africa,Mali,Niono District,Niono,Katene Kadji,0,0,0,0,,,
ACR102,Air Bag Gas Substitution,ACR,No,Completed,Chemical Processes,SF6 Replacement,Reduction,Emission reductions through industrial gas substitution,North America,United States,OREGON,Beaverton,Nike,7984006,17666,7966340,0,,,2003.0
ACR103,Inland Empire Anaerobic Ag Digester,ACR,No,Completed,Agriculture,Manure Methane Digester,Reduction,Anaerobic Digestion,North America,United States,CALIFORNIA,Chino,Inland Empire Utilities Agency,44202,44202,0,0,,,2003.0
ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",ACR,No,Inactive,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001,Sub Saharan Africa,Madagascar,Miandrivazo,Ankotrofotsy,Tany Meva Foundation,0,0,0,0,,,
ACR105,Boa Vista A/R,ACR,No,Canceled,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001,South America,Brazil,Roraima,Boa Vista,F.I.T Timber Ltd,2572210,2572210,0,0,,,2011.0
ACR106,Brickyard LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Danville,Biogas Energy Solutions,138492,109452,29040,0,,,2006.0
ACR107,Camargo Fuel Substitution,ACR,No,Completed,Industrial & Commercial,Fuel Switching,Reduction,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,South America,Bolivia,Nor Ciniti,Camargo,E+Co,1138,1138,0,0,,,2005.0
ACR108,San Juan National Forest Carbon Demonstration Project,ACR,No,Canceled,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001,North America,United States,COLORADO,"Columbine Ranger District, 20 Miles North of Bayfield, CO",National Forest Foundation,0,0,0,0,,,
ACR109,Chesapeake Mizer Pneumatic Retrofit,ACR,No,Completed,Industrial & Commercial,Pneumatic Retrofit,Reduction,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,North America,United States,OKLAHOMA,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",Chesapeake Energy,541804,200000,341804,0,,,2008.0
ACR110,Chicago LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Chicago,Biogas Energy Solutions,62262,52219,10043,0,,,2006.0
