Project ID,Project Name,Project Owner ,Offset Project Operator ,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions,PERs,Registry / ARB,ARB Project Detail,ARB ID,Project Listed,Project Registered ,CCB / Certifications,Project Type,"Registry 
Documents",Project Website
ACR101,AFOVERT Energy,0,,,,,0.0,ACR,Not ARB Eligible,,,,06: Clean Water and Sanitation;07: Affordable and Clean Energy;13: Climate Action;15: Life on Land,Fuel Switching,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR102,Air Bag Gas Substitution,,,,ERT,,0.0,ACR,Not ARB Eligible,,,,,Industrial Gas Substitution,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR103,Inland Empire Anaerobic Ag Digester,,,,Ruby Canyon Environment,,0.0,ACR,Not ARB Eligible,,,,,Livestock Waste Management,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR104,"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar",,,,,,0.0,ACR,Not ARB Eligible,,,,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR105,Boa Vista A/R,,,,SCS Global Services (Scientific Certification Systems),,0.0,ACR,Not ARB Eligible,,,,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR106,Brickyard LFG to Energy,,,,ERT,,0.0,ACR,Not ARB Eligible,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR107,Camargo Fuel Substitution,,,,CONSOT SRL – SERVICIOS DE CONSULTORIA,,0.0,ACR,Not ARB Eligible,,,,,Fuel Switching,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR108,San Juan National Forest Carbon Demonstration Project,,,,,,0.0,ACR,Not ARB Eligible,,,,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Forest Carbon,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR109,Chesapeake Mizer Pneumatic Retrofit,,,,,,0.0,ACR,Not ARB Eligible,,,,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",Industrial Process Emissions,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR110,Chicago LFG to Energy,,,,ERT,,0.0,ACR,Not ARB Eligible,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR111,Devon Mizer Pneumatic Retrofit,,,,"Det Norske Veritas (U.S.A.), Inc.",,0.0,ACR,Not ARB Eligible,,,,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",Industrial Process Emissions,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR112,Dolton LFG to Energy,,,,ERT,,0.0,ACR,Not ARB Eligible,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
ACR113,Greater New Bedford LFG,,,,"First Environment, Inc.",,0.0,ACR,Not ARB Eligible,,,,,Landfill Gas Capture & Combustion,https://acr2.apx.com/myModule/rpt/myrpt.asp?r=111,
