"Issuance Date","Vintage Start","Vintage End","ID","Name","Country","Project Type","Methodology","Total Vintage Quantity","Credits Quantity Issued","Serial Number","Additional Certifications","Retirement/Cancellation Date","Retirement Beneficiary","Retirement Reason","Retirement Details"
"21/10/2021","01/04/2016","31/12/2016","493","5 MW Brahm Ganga Hydro – Electric Project at Kullu district of Himachal Pradesh, India","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","17,058","17,058","11522-337737512-337754569-VCS-VCU-291-VER-IN-1-493-01042016-31122016-0","","27/10/2021","0x00000016F127c94A667Ae3C9fDF0C31c9C79826f","Other","TOUCAN-1.0-137-0x293c24f8dedbd5e6a881cfdef111806449dcf71c7fca95d458a920efeec10c9d-481"
"21/10/2021","01/01/2017","31/12/2017","535","78 MW AKOCAK Hydroelectric Power Plant","Turkey","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","106,299","28,580","11543-338158113-338186692-VCS-VCU-279-VER-TR-1-535-01012017-31122017-0","","22/10/2021","0xEE66Bfe308c0DeCe0F25c46B254df50cea743674","Other","TOUCAN-1.0-137-0xf3a3d76f71677ca3583ff35c9bacbdbc349fa2db0f9dcc517dcbc5890198e647-413"
"21/10/2021","01/01/2017","31/12/2017","493","5 MW Brahm Ganga Hydro – Electric Project at Kullu district of Himachal Pradesh, India","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","19,588","19,588","11523-337754570-337774157-VCS-VCU-291-VER-IN-1-493-01012017-31122017-0","","27/10/2021","0x00000016f127c94a667ae3c9fdf0c31c9c79826f","Other","TOUCAN-1.0-137-0x501bc0bb8a2f05cd800f3f52904a4f4c95c319f83c42c00117d9a1d77490bbf6-483"
"21/10/2021","01/01/2018","01/04/2018","493","5 MW Brahm Ganga Hydro – Electric Project at Kullu district of Himachal Pradesh, India","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","1,586","1,586","11524-337774158-337775743-VCS-VCU-291-VER-IN-1-493-01012018-01042018-0","","27/10/2021","0x00000016F127c94A667Ae3C9fDF0C31c9C79826f","Other","TOUCAN-1.0-137-0x95a59956950b5792471c1895587fe4ffc646807f1ea2f2ed94fd6f991d307b24-485"
"21/10/2021","01/01/2018","31/12/2018","535","78 MW AKOCAK Hydroelectric Power Plant","Turkey","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","137,940","68,970","11544-338211297-338280266-VCS-VCU-279-VER-TR-1-535-01012018-31122018-0","","24/10/2021","0xEE66Bfe308c0DeCe0F25c46B254df50cea743674","Other","TOUCAN-1.0-137-0x720ac7c4bff7b67cbd80125696a9bb9db1f51fd291e934460286ad9bac953c9a-453"
"19/10/2021","01/01/2016","31/12/2016","823","Datong River Tianwanggou Hydropower Station","China","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","187,466","87,466","11495-336541949-336629414-VCS-VCU-264-VER-CN-1-823-01012016-31122016-0","","27/10/2021","0x00000016F127c94A667Ae3C9fDF0C31c9C79826f","Other","TOUCAN-1.0-137-0x710ecf8a325582da50c82a1a485082aa6d42c216a8a1626f2f6907d53e9a6d85-478"
"18/10/2021","01/04/2008","30/09/2009","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","2,970,612","100,000","11476-333103620-333203619-VCS-VCU-291-VER-IN-1-766-01042008-30092009-0","","22/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0xb4530389f801de83e4d508ae8aba98aa24edaf0bf2ed3beb62b6f874ec0e5d7e-422"
"18/10/2021","01/01/2010","31/12/2010","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","2,093,479","100,000","11477-333278620-333378619-VCS-VCU-291-VER-IN-1-766-01012010-31122010-0","","22/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0x8b3f75e5f75c7f4851f596a4db1bbd2ce500d09226e2173ef494daabc3fd669e-428"
"18/10/2021","01/04/2008","30/09/2008","173","Vishnuprayag Hydro-electric Project (VHEP) by Jaiprakash Power Ventures Ltd.(JPVL)","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","1,143,551","160,000","11482-335017230-335177229-VCS-VCU-259-VER-IN-1-173-01042008-30092008-0","","23/10/2021","0x00000016F127c94A667Ae3C9fDF0C31c9C79826f","Other","TOUCAN-1.0-137-0xcf99cfe27b4ba06a29962b6bb2dea00ecc3208118f1032325844fdb74e32f132-448"
"18/10/2021","01/04/2008","30/09/2008","173","Vishnuprayag Hydro-electric Project (VHEP) by Jaiprakash Power Ventures Ltd.(JPVL)","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","1,143,551","187,000","11482-334717230-334904229-VCS-VCU-259-VER-IN-1-173-01042008-30092008-0","","22/10/2021","0xA3fBf3282B227edfCeD3488Ac8b71AF4D38FC075","Other","TOUCAN-1.0-137-0xe7043f4897feb9037ec84a9dba1584842e189669a7c46b960e53d0f0a6c1109f-402"
