Project ID,Project Name,Voluntary Registry,"ARB 
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
VCS10,BAESA Project,VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,South America,Brazil,,,Multiple Proponents,6726799,3802757,2924042,0,,,2006.0,0,0,0,0,0,0,0,0,0,0,136467,350000,111187,3176,190234,5496,318849,366180,1061921,380532,0,0,0,0,0,0,0
VCS1002,"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited",VCS,No,Registered,Industrial & Commercial,Natural Gas Electricity Generation,Reduction,AM0029,South Asia,India,,,GVK Industries Limited,2600983,2224099,376884,0,,,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162,212645,159077,0,0,0,0,0,0,0,0,0,0,0
VCS1052,North Pikounda REDD+,VCS,No,Registered,Forestry & Land Use,REDD+,Mixed,VM0011,Sub Saharan Africa,Republic of Congo,,,Multiple Proponents,56209,56196,13,20007,,,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
VCS1100,SANIBEY DAM AND HYDROELECTRIC POWER PLANT,VCS,No,Registered,Renewable Energy,Hydropower,Reduction,ACM0002,Middle East,Turkey,,,''SANKO Enerji Sanayi ve Ticaret A.Ş,4596206,850769,3745437,0,,,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667926,0,218965,572720,353741,380281,439976,609312,502516,0,0
VCS1121,Anhui Guzhen Biomass Generation Project,VCS,No,Crediting Period Renewal Requested,Renewable Energy,Biomass,Reduction,ACM0018,East Asia,China,,,"NATIONAL GUZHEN  BIO ENERGY CO.,LTD.",720192,416783,303409,0,,,2011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87056,27634,0,0,82,40000,0,15000,110958,22679,0,0
VCS1146,The Hyundai Waste Energy Recovery CO-Generation Project Phase II,VCS,No,Registered,Industrial & Commercial,Waste Gas Recovery,Reduction,ACM0012,East Asia,South Korea,,,Multiple Proponents,6744674,3696535,3048139,0,,,2013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21458,1024587,734866,39757,1227471,0,0,0,0,0
VCS1160,"6.5 MW cogeneration project in Akbarpur, Punjab",VCS,No,Registered,Industrial & Commercial,Natural Gas Electricity Generation,Reduction,AMS-I.C.,South Asia,India,,,Gillanders Arbuthnot & Co. Ltd,308675,169781,138894,0,,,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21654,30409,9353,0,0,456,1921,20422,18232,28981,7466,0,0,0
VCS1162,Jiangxi Province Le'an County Forest Farm Carbon Sink Project,VCS,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,VM0010,East Asia,China,,,"Beijing Shengdahuitang Carbon Management Co.,Ltd.",474446,321811,152635,141721,,,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19762,19565,54843,2173,0,0,24373,31919,0,0,0,0,0,0
VCS1166,Nanba Associated Gas Processing Plant and the Auxiliary Engineering,VCS,No,Registered,Industrial & Commercial,Waste Gas Recovery,Reduction,AM0009,East Asia,China,,,"Daqing Oilfield Co., Ltd.",224553,166190,58363,0,,,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58363,0,0,0,0,0,0,0,0,0,0
VCS1186,Vi√±ales biomass power plant,VCS,No,Registered,Renewable Energy,Biomass,Reduction,ACM0006,South America,Chile,,,Celulosa Arauco y Constitución S.A.,602895,491453,111442,0,,,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19657,54330,37455,0,0,0,0,0,0
